name;category;city;address;street;house_number;house
arnie morton\s of chicago';american;los angeles;435 s. la cienega blv.;s. la cienega blv.;435;
art\s delicatessen';american;studio city;12224 ventura boulevard;ventura boulevard;12224;
hotel bel-air;californian;bel air;701 stone canyon road;stone canyon road;701;
cafe bizou;french;sherman oaks;14016 ventura boulevard;ventura boulevard;14016;
campanile;american;los angeles;624 s. la brea ave.;s. la brea ave.;624;
chinois on main;french;santa monica;2709 main st.;main st.;2709;
citrus;californian;los angeles;6703 melrose avenue;melrose avenue;6703;
fenix;american;hollywood;8358 sunset boulevard west;sunset boulevard west;8358;
granita;californian;malibu;23725 w. malibu rd.;w. malibu rd.;23725;
grill on the alley;american;los angeles;9560 dayton way;dayton way;9560;
restaurant katsu;asian;los angeles;1972 n. hillhurst ave.;n. hillhurst ave.;1972;
l\orangerie';french;los angeles;903 n. la cienega blvd.;n. la cienega blvd.;903;
le chardonnay;french;los angeles;8284 melrose avenue;melrose avenue;8284;
locanda veneta;italian;los angeles;3rd st.;3rd st.;;
matsuhisa;asian;beverly hills;129 n. la cienega blvd.;n. la cienega blvd.;129;
the palm;american;los angeles;9001 santa monica boulevard;santa monica boulevard;9001;
patina;californian;los angeles;5955 melrose avenue;melrose avenue;5955;
philippe\s the original';american;los angeles;1001 n. alameda st.;n. alameda st.;1001;
pinot bistro;french;los angeles;12969 ventura boulevard;ventura boulevard;12969;
rex il ristorante;italian;los angeles;617 s. olive st.;s. olive st.;617;
spago;californian;los angeles;1114 horn avenue;horn avenue;1114;
valentino;italian;santa monica;3115 pico boulevard;pico boulevard;3115;
yujean kang\s gourmet chinese cuisine';asian;los angeles;67 n. raymond ave.;n. raymond ave.;67;
21 club;american;new york;21 w. 52nd st.;w. 52nd st.;21;
aquavit;continental;new york;13 w. 54th st.;w. 54th st.;13;
aureole;american;new york;34 e. 61st st.;e. 61st st.;34;
cafe lalo;coffee bar;new york;201 w. 83rd st.;w. 83rd st.;201;
cafe des artistes;continental;new york;1 w. 67th st.;w. 67th st.;1;
carmine\s';italian;new york;2450 broadway  between 90th and 91st sts.;broadway between 90th and 91st sts.;2450;
carnegie deli;delicatessen;new york;854 7th ave.  between 54th and 55th sts.;7th ave. between 54th and 55th sts.;854;
