,id,name,address,city,postalcode,phone,source
0,1,Tao Tao Restaurant,175 S Murphy Ave,Sunnyvale ,94086,(408) 736-3731,yellow_pages
1,2,Dinner at Buca di Beppo,,,,,yellow_pages
2,3,Sneha South & North Indian Restaurant,1214 Apollo Way # 404-B,Sunnyvale ,94085,(408) 481-0700,yellow_pages
3,4,The Armenian Gourmet,929 E Duane Ave,Sunnyvale ,94085,(408) 732-3910,yellow_pages
4,5,Round Table Pizza,415 N Mary Ave,Sunnyvale ,94085,(408) 733-1365,yellow_pages
5,6,Round Table Pizza,1220 Oakmead Pkwy,Sunnyvale ,94085,(408) 970-9000,yellow_pages
6,7,Tasty Indian Pizza,528 Lawrence Expy,Sunnyvale ,94085,(408) 738-8761,yellow_pages
7,8,Seto Japanese Cuisine,511 Borregas Ave,Sunnyvale ,94085,(408) 735-8280,yellow_pages
8,9,TGI Sushi Sunnyvale,903 E Duane Ave,Sunnyvale ,94085,(408) 737-7183,yellow_pages
9,10,Shanghai Restaurant,253 E Maude Ave,Sunnyvale ,94085,(408) 245-1342,yellow_pages
10,11,Pho Lovers,253 E Maude Ave,Sunnyvale ,94085,(408) 530-8583,yellow_pages
11,12,Old Country Buffet,456 W Maude Ave,Sunnyvale ,94085,(408) 720-9394,yellow_pages
12,13,Tryua Sushi SV,415 N Mary Ave,Sunnyvale ,94085,(408) 738-0408,yellow_pages
13,14,Yume-Ya,355 N Wolfe Rd Ste 727,Sunnyvale ,94085,(408) 530-8156,yellow_pages
14,15,Bombay Feast,769 N Mathilda Ave,Sunnyvale ,94085,(408) 245-2276,yellow_pages
15,16,Clarita's Filipino Cuisine,905 E Duane Ave,Sunnyvale ,94085,(408) 735-1721,yellow_pages
16,17,Madhuban Indian Cuisine,1180 Miraloma Way Ste M,Sunnyvale ,94085,(408) 245-1000,yellow_pages
17,18,Panera Bread,1195 E Arques Ave,Sunnyvale ,94085,(408) 736-7984,yellow_pages
18,19,Thai Thai Restaurant,500 Lawrence Expy Ste B,Sunnyvale ,94085,(408) 733-2626,yellow_pages
19,20,Luv Pho,500 Lawrence Expy,Sunnyvale ,94085,(408) 733-8883,yellow_pages
20,21,Chaats & Currys,520 Lawrence Expy Ste 310,Sunnyvale ,94085,(408) 746-9192,yellow_pages
21,22,Coco's,1206 Oakmead Pkwy,Sunnyvale ,94085,(408) 736-2895,yellow_pages
22,23,Kal's Bar-B-Q,425 N Mathilda Ave,Sunnyvale ,94085,(408) 739-5271,yellow_pages
23,24,Tia Juana Mexican Grill,901 E Duane Ave,Sunnyvale ,94085,(408) 730-8578,yellow_pages
24,25,Sri Ananda Bhavan,920 E Arques Ave,Sunnyvale ,94085,(408) 735-1111,yellow_pages
25,26,Swathi Tiffins,1202 Apollo Way,Sunnyvale ,94085,(408) 617-0482,yellow_pages
26,27,El Calbonero Restaurant,911 E Duane Ave,Sunnyvale ,94085,(408) 720-1077,yellow_pages
27,28,Hobee's,800 W Ahwanee Ave,Sunnyvale ,94085,(408) 524-3580,yellow_pages
28,29,Merit Vegetarian Restaurant,548 Lawrence Expy,Sunnyvale ,94085,(408) 245-8988,yellow_pages
29,30,Madhuban Indian Cuisine,544 Lawrence Expy,Sunnyvale ,94085,(408) 735-7448,yellow_pages
30,31,Denny's,814 W Ahwanee Ave,Sunnyvale ,94085,(408) 747-1449,yellow_pages
31,32,Sushi Boulevard,903 E Duane Ave,Sunnyvale ,94085,(408) 737-7183,yellow_pages
32,33,Ray's Crab Shack,5989 Mowry Ave,Newark ,94560,(510) 648-3069,yellow_pages
33,34,Fiorillo's Restaurant Inc.,638 El Camino Real,Santa Clara ,95050,(408) 766-7527,yellow_pages
34,35,Fishermen's Grotto,9 Fishermans Wharf,San Francisco ,94133,(415) 673-7025,yellow_pages
35,36,Sushi O Sushi Japanese Cuisine,2789 El Camino Real,Santa Clara ,95051,(408) 241-1677,yellow_pages
36,37,Giorgio's Italian Food & Pizzeria,643 E Calaveras Blvd,Milpitas ,95035,(408) 212-7094,yellow_pages
37,38,Giorgio's Italian Food & Pizzeria,1445 Foxworthy Ave,San Jose ,95118,(408) 474-0566,yellow_pages
38,39,House Of Genji,1335 N 1st St,San Jose ,95112,(408) 883-1427,yellow_pages
39,40,AACHI AAPPAKADAI,1105 W El Camino Real,Sunnyvale ,94087,(408) 329-4145,yellow_pages
40,41,Iron Works Barbeque,,,,(512) 478-4856,yellow_pages
41,42,Frankie Johnnie & Luigi Too!,939 W El Camino Real,Mountain View ,94040,(650) 567-5114,yellow_pages
42,43,Round Table Pizza,,,,,yellow_pages
43,44,Olive Garden Italian Restaurant,,,,,yellow_pages
44,45,Bay Cafe Restaurant & Banquets,1875 Embarcadero Rd,Palo Alto ,94303,(650) 600-3454,yellow_pages
45,46,Cha Cha Cha,1801 Haight St,San Francisco ,94117,(415) 386-7670,yellow_pages
46,47,Maldonado's Pizzeria,615 S Rengstorff Ave,Mountain View ,94040,(650) 567-4227,yellow_pages
47,48,Jing-Jing Szechwan Hunan Gourmet,443 Emerson St,Palo Alto ,94301,(650) 328-6885,yellow_pages
48,49,Kazoo Restaurant,250 Jackson St,San Jose ,95112,(408) 288-9611,yellow_pages
49,50,St. John's Bar & Grill,510 Lawrence Expy,Sunnyvale ,94085,(408) 738-8515,yellow_pages
50,51,Chantilly Restaurant,3001 El Camino Real,Redwood City ,94061,(650) 321-4080,yellow_pages
51,52,Round Table Pizza,860 Old San Francisco Rd,Sunnyvale ,94086,(408) 245-9000,yellow_pages
52,53,Round Table Pizza,665 S Bernardo Ave,Sunnyvale ,94087,(408) 732-6670,yellow_pages
53,54,Round Table Pizza,415 N Mary Ave,Sunnyvale ,94085,(408) 733-1365,yellow_pages
54,55,Round Table Pizza,1663 Hollenbeck Ave,Sunnyvale ,94087,(408) 245-5905,yellow_pages
55,56,Round Table Pizza,1220 Oakmead Pkwy,Sunnyvale ,94085,(408) 970-9000,yellow_pages
56,57,Round Table Pizza,570 N Shoreline Blvd,Mountain View ,94043,(650) 961-0361,yellow_pages
57,58,Round Table Pizza,399 1st St,Los Altos ,94022,(650) 941-0237,yellow_pages
58,59,World Gourmet Buffet,6010 Stevenson Blvd,Fremont ,94538,(510) 323-2765,yellow_pages
59,60,Cascal,400 Castro St,Mountain View ,94041,(650) 265-1884,yellow_pages
60,61,Tao Tao Restaurant,175 S Murphy Ave,Sunnyvale ,94086,(408) 736-3731,yellow_pages
61,62,Dinner at Buca di Beppo,,,,,yellow_pages
63,64,The Armenian Gourmet,929 E Duane Ave,Sunnyvale ,94085,(408) 732-3910,yellow_pages
64,65,Round Table Pizza,415 N Mary Ave,Sunnyvale ,94085,(408) 733-1365,yellow_pages
65,66,Round Table Pizza,1220 Oakmead Pkwy,Sunnyvale ,94085,(408) 970-9000,yellow_pages
66,67,Tasty Indian Pizza,528 Lawrence Expy,Sunnyvale ,94085,(408) 738-8761,yellow_pages
67,68,Seto Japanese Cuisine,511 Borregas Ave,Sunnyvale ,94085,(408) 735-8280,yellow_pages
68,69,TGI Sushi Sunnyvale,903 E Duane Ave,Sunnyvale ,94085,(408) 737-7183,yellow_pages
69,70,Shanghai Restaurant,253 E Maude Ave,Sunnyvale ,94085,(408) 245-1342,yellow_pages
70,71,Pho Lovers,253 E Maude Ave,Sunnyvale ,94085,(408) 530-8583,yellow_pages
71,72,Old Country Buffet,456 W Maude Ave,Sunnyvale ,94085,(408) 720-9394,yellow_pages
72,73,Tryua Sushi SV,415 N Mary Ave,Sunnyvale ,94085,(408) 738-0408,yellow_pages
73,74,Yume-Ya,355 N Wolfe Rd Ste 727,Sunnyvale ,94085,(408) 530-8156,yellow_pages
74,75,Bombay Feast,769 N Mathilda Ave,Sunnyvale ,94085,(408) 245-2276,yellow_pages
75,76,Clarita's Filipino Cuisine,905 E Duane Ave,Sunnyvale ,94085,(408) 735-1721,yellow_pages
76,77,Madhuban Indian Cuisine,1180 Miraloma Way Ste M,Sunnyvale ,94085,(408) 245-1000,yellow_pages
77,78,Panera Bread,1195 E Arques Ave,Sunnyvale ,94085,(408) 736-7984,yellow_pages
78,79,Thai Thai Restaurant,500 Lawrence Expy Ste B,Sunnyvale ,94085,(408) 733-2626,yellow_pages
79,80,Luv Pho,500 Lawrence Expy,Sunnyvale ,94085,(408) 733-8883,yellow_pages
80,81,Chaats & Currys,520 Lawrence Expy Ste 310,Sunnyvale ,94085,(408) 746-9192,yellow_pages
81,82,Coco's,1206 Oakmead Pkwy,Sunnyvale ,94085,(408) 736-2895,yellow_pages
82,83,Kal's Bar-B-Q,425 N Mathilda Ave,Sunnyvale ,94085,(408) 739-5271,yellow_pages
83,84,Tia Juana Mexican Grill,901 E Duane Ave,Sunnyvale ,94085,(408) 730-8578,yellow_pages
84,85,Sri Ananda Bhavan,920 E Arques Ave,Sunnyvale ,94085,(408) 735-1111,yellow_pages
85,86,Swathi Tiffins,1202 Apollo Way,Sunnyvale ,94085,(408) 617-0482,yellow_pages
86,87,El Calbonero Restaurant,911 E Duane Ave,Sunnyvale ,94085,(408) 720-1077,yellow_pages
87,88,Hobee's,800 W Ahwanee Ave,Sunnyvale ,94085,(408) 524-3580,yellow_pages
88,89,Merit Vegetarian Restaurant,548 Lawrence Expy,Sunnyvale ,94085,(408) 245-8988,yellow_pages
89,90,Madhuban Indian Cuisine,544 Lawrence Expy,Sunnyvale ,94085,(408) 735-7448,yellow_pages
90,91,Denny's,814 W Ahwanee Ave,Sunnyvale ,94085,(408) 747-1449,yellow_pages
91,92,Sushi Boulevard,903 E Duane Ave,Sunnyvale ,94085,(408) 737-7183,yellow_pages
92,93,Ray's Crab Shack,5989 Mowry Ave,Newark ,94560,(510) 648-3069,yellow_pages
93,94,Fiorillo's Restaurant Inc.,638 El Camino Real,Santa Clara ,95050,(408) 766-7527,yellow_pages
94,95,Fishermen's Grotto,9 Fishermans Wharf,San Francisco ,94133,(415) 673-7025,yellow_pages
95,96,Sushi O Sushi Japanese Cuisine,2789 El Camino Real,Santa Clara ,95051,(408) 241-1677,yellow_pages
96,97,Giorgio's Italian Food & Pizzeria,643 E Calaveras Blvd,Milpitas ,95035,(408) 212-7094,yellow_pages
97,98,Giorgio's Italian Food & Pizzeria,1445 Foxworthy Ave,San Jose ,95118,(408) 474-0566,yellow_pages
98,99,House Of Genji,1335 N 1st St,San Jose ,95112,(408) 883-1427,yellow_pages
99,100,AACHI AAPPAKADAI,1105 W El Camino Real,Sunnyvale ,94087,(408) 329-4145,yellow_pages
100,101,Iron Works Barbeque,,,,(512) 478-4856,yellow_pages
101,102,Frankie Johnnie & Luigi Too!,939 W El Camino Real,Mountain View ,94040,(650) 567-5114,yellow_pages
102,103,Round Table Pizza,,,,,yellow_pages
103,104,Olive Garden Italian Restaurant,,,,,yellow_pages
104,105,Bay Cafe Restaurant & Banquets,1875 Embarcadero Rd,Palo Alto ,94303,(650) 600-3454,yellow_pages
105,106,Cha Cha Cha,1801 Haight St,San Francisco ,94117,(415) 386-7670,yellow_pages
106,107,Maldonado's Pizzeria,615 S Rengstorff Ave,Mountain View ,94040,(650) 567-4227,yellow_pages
107,108,Jing-Jing Szechwan Hunan Gourmet,443 Emerson St,Palo Alto ,94301,(650) 328-6885,yellow_pages
108,109,Kazoo Restaurant,250 Jackson St,San Jose ,95112,(408) 288-9611,yellow_pages
109,110,St. John's Bar & Grill,510 Lawrence Expy,Sunnyvale ,94085,(408) 738-8515,yellow_pages
110,111,Chantilly Restaurant,3001 El Camino Real,Redwood City ,94061,(650) 321-4080,yellow_pages
111,112,Round Table Pizza,860 Old San Francisco Rd,Sunnyvale ,94086,(408) 245-9000,yellow_pages
112,113,Round Table Pizza,665 S Bernardo Ave,Sunnyvale ,94087,(408) 732-6670,yellow_pages
113,114,Round Table Pizza,415 N Mary Ave,Sunnyvale ,94085,(408) 733-1365,yellow_pages
114,115,Round Table Pizza,1663 Hollenbeck Ave,Sunnyvale ,94087,(408) 245-5905,yellow_pages
115,116,Round Table Pizza,1220 Oakmead Pkwy,Sunnyvale ,94085,(408) 970-9000,yellow_pages
116,117,Round Table Pizza,570 N Shoreline Blvd,Mountain View ,94043,(650) 961-0361,yellow_pages
117,118,Round Table Pizza,399 1st St,Los Altos ,94022,(650) 941-0237,yellow_pages
118,119,World Gourmet Buffet,6010 Stevenson Blvd,Fremont ,94538,(510) 323-2765,yellow_pages
119,120,Cascal,400 Castro St,Mountain View ,94041,(650) 265-1884,yellow_pages
120,121,Pho Vy Vietnamese Restaurant,913 E Duane Ave,Sunnyvale ,94085,(408) 739-8844,yellow_pages
121,122,Sushi Club,415 N Mary Ave,Sunnyvale ,94085,(408) 738-0408,yellow_pages
122,123,Barn Thai Restaurant,921 E Duane Ave,Sunnyvale ,94085,(408) 732-3319,yellow_pages
123,124,St. John's Bar & Grill,510 Lawrence Expy,Sunnyvale ,94085,(408) 738-8515,yellow_pages
124,125,Bibimbowl,415 N Mary Ave,Sunnyvale ,94085,(408) 481-9383,yellow_pages
125,126,Falafel Bite,500 Lawrence Expy,Sunnyvale ,94085,(408) 736-2411,yellow_pages
126,127,asian spice,440N wolfe road,sunnyvale ,94085,(650) 739-5799,yellow_pages
127,128,Little India Cafe,415 N Mary Ave,Sunnyvale ,94085,(408) 245-6200,yellow_pages
128,129,Sunnyvale Cafe,223 E Maude Ave,Sunnyvale ,94085,(408) 530-8191,yellow_pages
129,130,Bagel Street Cafe,346 W Maude Ave,Sunnyvale ,94085,(408) 738-1856,yellow_pages
130,131,Myzen Ramen,"520 Lawrence Expressway, Suite 304",Sunnyvale ,94085,(408) 245-7779,yellow_pages
131,132,Ruby's Taqueria,821 Borregas Ave,Sunnyvale ,94085,(408) 744-0622,yellow_pages
132,133,Happy Cafe,542 Lakeside Dr # 3,Sunnyvale ,94085,(408) 738-8297,yellow_pages
133,134,Kori Bbq And wings,311 N Fair Oaks Ave,Sunnyvale ,94085,(408) 542-9018,yellow_pages
134,135,Peet's Coffee & Tea,484 N Mathilda Ave,Sunnyvale ,94085,(408) 737-1834,yellow_pages
135,136,Gombei Bento,155 E Maude Ave,Sunnyvale ,94085,(408) 735-7777,yellow_pages
136,137,Marty's Donuts,350 W Maude Ave,Sunnyvale ,94085,(408) 735-0690,yellow_pages
137,138,Off The Stick,927 E Arques Ave,Sunnyvale ,94085,(408) 746-9746,yellow_pages
138,139,Mediterranean Cuisine,911 E Duane Ave,Sunnyvale ,94085,(408) 685-2269,yellow_pages
139,140,Pizza Depot,919 E Duane Ave,Sunnyvale ,94085,(408) 245-7760,yellow_pages
140,141,Speedys Tacos,929 E Duane Ave,Sunnyvale ,94085,(408) 685-2791,yellow_pages
141,142,High Tech Burrito,1191 E Arques Ave,Sunnyvale ,94085,(408) 737-7337,yellow_pages
142,143,Naivedyam Foods Inc.,1202 Apollo Way,Sunnyvale ,94085,(408) 617-0480,yellow_pages
