id,source,name,category,phone,city,postalcode,address,street,house_number,house
1,yellow_pages,Tao Tao Restaurant,,(408) 736-3731,Sunnyvale ,94086,175 S Murphy Ave,s murphy ave,175,
2,yellow_pages,Dinner at Buca di Beppo,,,,nan,,,,
3,yellow_pages,Sneha South & North Indian Restaurant,,(408) 481-0700,Sunnyvale ,94085,1214 Apollo Way # 404-B,apollo way,1214,
4,yellow_pages,The Armenian Gourmet,,(408) 732-3910,Sunnyvale ,94085,929 E Duane Ave,e duane ave,929,
5,yellow_pages,Round Table Pizza,,(408) 733-1365,Sunnyvale ,94085,415 N Mary Ave,n mary ave,415,
6,yellow_pages,Round Table Pizza,,(408) 970-9000,Sunnyvale ,94085,1220 oakmead parkway,oakmead parkway,1220,
7,yellow_pages,Tasty Indian Pizza,,(408) 738-8761,Sunnyvale ,94085,528 lawrence expressway,lawrence expressway,528,
8,yellow_pages,Seto Japanese Cuisine,,(408) 735-8280,Sunnyvale ,94085,511 borregas avenue,borregas avenue,511,
9,yellow_pages,TGI Sushi Sunnyvale,,(408) 737-7183,Sunnyvale ,94085,903 E Duane Ave,e duane ave,903,
10,yellow_pages,Shanghai Restaurant,,(408) 245-1342,Sunnyvale ,94085,253 E Maude Ave,e maude ave,253,
11,yellow_pages,Pho Lovers,,(408) 530-8583,Sunnyvale ,94085,253 E Maude Ave,e maude ave,253,
12,yellow_pages,Old Country Buffet,,(408) 720-9394,Sunnyvale ,94085,456 W Maude Ave,w maude ave,456,
13,yellow_pages,Tryua Sushi SV,,(408) 738-0408,Sunnyvale ,94085,415 N Mary Ave,n mary ave,415,
14,yellow_pages,Yume-Ya,,(408) 530-8156,Sunnyvale ,94085,355 N Wolfe Rd Ste 727,n wolfe rd,355,
15,yellow_pages,Bombay Feast,,(408) 245-2276,Sunnyvale ,94085,769 N Mathilda Ave,n mathilda ave,769,
16,yellow_pages,Clarita's Filipino Cuisine,,(408) 735-1721,Sunnyvale ,94085,905 E Duane Ave,e duane ave,905,
17,yellow_pages,Madhuban Indian Cuisine,,(408) 245-1000,Sunnyvale ,94085,1180 Miraloma Way Ste M,miraloma way,1180,
18,yellow_pages,Panera Bread,,(408) 736-7984,Sunnyvale ,94085,1195 E Arques Ave,e arques ave,1195,
19,yellow_pages,Thai Thai Restaurant,,(408) 733-2626,Sunnyvale ,94085,500 Lawrence Expy Ste B,lawrence expy,500,
20,yellow_pages,Luv Pho,,(408) 733-8883,Sunnyvale ,94085,500 lawrence expressway,lawrence expressway,500,
21,yellow_pages,Chaats & Currys,,(408) 746-9192,Sunnyvale ,94085,520 Lawrence Expy Ste 310,lawrence expy,520,
22,yellow_pages,Coco's,,(408) 736-2895,Sunnyvale ,94085,1206 oakmead parkway,oakmead parkway,1206,
23,yellow_pages,Kal's Bar-B-Q,,(408) 739-5271,Sunnyvale ,94085,425 N Mathilda Ave,n mathilda ave,425,
24,yellow_pages,Tia Juana Mexican Grill,,(408) 730-8578,Sunnyvale ,94085,901 E Duane Ave,e duane ave,901,
25,yellow_pages,Sri Ananda Bhavan,,(408) 735-1111,Sunnyvale ,94085,920 E Arques Ave,e arques ave,920,
26,yellow_pages,Swathi Tiffins,,(408) 617-0482,Sunnyvale ,94085,1202 apollo way,apollo way,1202,
27,yellow_pages,El Calbonero Restaurant,,(408) 720-1077,Sunnyvale ,94085,911 E Duane Ave,e duane ave,911,
28,yellow_pages,Hobee's,,(408) 524-3580,Sunnyvale ,94085,800 W Ahwanee Ave,w ahwanee ave,800,
29,yellow_pages,Merit Vegetarian Restaurant,,(408) 245-8988,Sunnyvale ,94085,548 lawrence expressway,lawrence expressway,548,
30,yellow_pages,Madhuban Indian Cuisine,,(408) 735-7448,Sunnyvale ,94085,544 lawrence expressway,lawrence expressway,544,
31,yellow_pages,Denny's,,(408) 747-1449,Sunnyvale ,94085,814 W Ahwanee Ave,w ahwanee ave,814,
32,yellow_pages,Sushi Boulevard,,(408) 737-7183,Sunnyvale ,94085,903 E Duane Ave,e duane ave,903,
33,yellow_pages,Ray's Crab Shack,,(510) 648-3069,Newark ,94560,5989 mowry avenue,mowry avenue,5989,
34,yellow_pages,Fiorillo's Restaurant Inc.,,(408) 766-7527,Santa Clara ,95050,638 el camino real,el camino real,638,
35,yellow_pages,Fishermen's Grotto,,(415) 673-7025,San Francisco ,94133,9 fishermans wharf,fishermans wharf,9,
36,yellow_pages,Sushi O Sushi Japanese Cuisine,,(408) 241-1677,Santa Clara ,95051,2789 el camino real,el camino real,2789,
37,yellow_pages,Giorgio's Italian Food & Pizzeria,,(408) 212-7094,Milpitas ,95035,643 E Calaveras Blvd,e calaveras blvd,643,
38,yellow_pages,Giorgio's Italian Food & Pizzeria,,(408) 474-0566,San Jose ,95118,1445 foxworthy avenue,foxworthy avenue,1445,
39,yellow_pages,House Of Genji,,(408) 883-1427,San Jose ,95112,1335 N 1st St,n 1st st,1335,
40,yellow_pages,AACHI AAPPAKADAI,,(408) 329-4145,Sunnyvale ,94087,1105 W El Camino Real,w el camino real,1105,
41,yellow_pages,Iron Works Barbeque,,(512) 478-4856,,nan,,,,
42,yellow_pages,Frankie Johnnie & Luigi Too!,,(650) 567-5114,Mountain View ,94040,939 W El Camino Real,w el camino real,939,
43,yellow_pages,Round Table Pizza,,,,nan,,,,
44,yellow_pages,Olive Garden Italian Restaurant,,,,nan,,,,
45,yellow_pages,Bay Cafe Restaurant & Banquets,,(650) 600-3454,Palo Alto ,94303,1875 embarcadero road,embarcadero road,1875,
46,yellow_pages,Cha Cha Cha,,(415) 386-7670,San Francisco ,94117,1801 Haight St,haight st,1801,
47,yellow_pages,Maldonado's Pizzeria,,(650) 567-4227,Mountain View ,94040,615 S Rengstorff Ave,s rengstorff ave,615,
48,yellow_pages,Jing-Jing Szechwan Hunan Gourmet,,(650) 328-6885,Palo Alto ,94301,443 Emerson St,emerson st,443,
49,yellow_pages,Kazoo Restaurant,,(408) 288-9611,San Jose ,95112,250 Jackson St,jackson st,250,
50,yellow_pages,St. John's Bar & Grill,,(408) 738-8515,Sunnyvale ,94085,510 lawrence expressway,lawrence expressway,510,
51,yellow_pages,Chantilly Restaurant,,(650) 321-4080,Redwood City ,94061,3001 el camino real,el camino real,3001,
52,yellow_pages,Round Table Pizza,,(408) 245-9000,Sunnyvale ,94086,860 old san francisco road,old san francisco road,860,
53,yellow_pages,Round Table Pizza,,(408) 732-6670,Sunnyvale ,94087,665 S Bernardo Ave,s bernardo ave,665,
54,yellow_pages,Round Table Pizza,,(408) 733-1365,Sunnyvale ,94085,415 N Mary Ave,n mary ave,415,
55,yellow_pages,Round Table Pizza,,(408) 245-5905,Sunnyvale ,94087,1663 hollenbeck avenue,hollenbeck avenue,1663,
56,yellow_pages,Round Table Pizza,,(408) 970-9000,Sunnyvale ,94085,1220 oakmead parkway,oakmead parkway,1220,
57,yellow_pages,Round Table Pizza,,(650) 961-0361,Mountain View ,94043,570 N Shoreline Blvd,n shoreline blvd,570,
