#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.id
#foreign_key_rtable=rtable.id
_id,ltable.id,rtable.id,ltable.address,ltable.city,ltable.name,ltable.phone,ltable.state,ltable.zipcode,rtable.address,rtable.city,rtable.name,rtable.phone,rtable.state,rtable.zipcode
5,1,54,175 S Murphy Ave,Sunnyvale ,Tao Tao Restaurant,(408) 736-3731,CA,94086.0,141 S Murphy Ave,Sunnyvale,Turmeric Restaurant,(408) 617-9100,CA,94086.0
8,1,72,175 S Murphy Ave,Sunnyvale ,Tao Tao Restaurant,(408) 736-3731,CA,94086.0,140 S Murphy Ave,Sunnyvale,Tarragon Restaurant,(408) 737-8003,CA,94086.0
12,1,134,175 S Murphy Ave,Sunnyvale ,Tao Tao Restaurant,(408) 736-3731,CA,94086.0,175 S Murphy Ave,Sunnyvale,Tao Tao Cafe,(408) 736-3731,CA,94086.0
16,3,141,1214 Apollo Way # 404-B,Sunnyvale ,Sneha South & North Indian Restaurant,(408) 481-0700,CA,94085.0,1214 Apollo Way,Sunnyvale,Sneha,(408) 481-0700,CA,94085.0
22,7,46,528 Lawrence Expy,Sunnyvale ,Tasty Indian Pizza,(408) 738-8761,CA,94085.0,528 Lawrence Expy,Sunnyvale,Tasty Subs & Pizza,(408) 738-8761,CA,94085.0
23,7,52,528 Lawrence Expy,Sunnyvale ,Tasty Indian Pizza,(408) 738-8761,CA,94085.0,528 Lawrence Expy,Sunnyvale,Tasty Indian Pizza,(408) 642-7672,CA,94085.0
24,8,76,511 Borregas Ave,Sunnyvale ,Seto Japanese Cuisine,(408) 735-8280,CA,94085.0,511 Borregas Ave,Sunnyvale,Seto Restaurant,(408) 735-8280,CA,94085.0
35,11,13,253 E Maude Ave,Sunnyvale ,Pho Lovers,(408) 530-8583,CA,94085.0,253 E Maude Ave,Sunnyvale,Pho Lovers,(408) 530-8583,CA,94085.0
51,16,3,905 E Duane Ave,Sunnyvale ,Clarita's Filipino Cuisine,(408) 735-1721,CA,94085.0,911 E Duane Ave,Sunnyvale,Obed Mediterranean Cuisine,(408) 685-2269,CA,94085.0
60,19,71,500 Lawrence Expy Ste B,Sunnyvale ,Thai Thai Restaurant,(408) 733-2626,CA,94085.0,500 Lawrence Expy,Sunnyvale,Luv Pho Restaurant,(408) 733-8883,CA,94085.0
61,19,109,500 Lawrence Expy Ste B,Sunnyvale ,Thai Thai Restaurant,(408) 733-2626,CA,94085.0,500 Lawrence Expy,Sunnyvale,Pad Thai Cuisine,(408) 733-2626,CA,94085.0
64,20,71,500 Lawrence Expy,Sunnyvale ,Luv Pho,(408) 733-8883,CA,94085.0,500 Lawrence Expy,Sunnyvale,Luv Pho Restaurant,(408) 733-8883,CA,94085.0
66,21,53,520 Lawrence Expy Ste 310,Sunnyvale ,Chaats & Currys,(408) 746-9192,CA,94085.0,520 Lawrence Expy,Sunnyvale,Chaats & Currys,(408) 746-9192,CA,94085.0
74,24,25,901 E Duane Ave,Sunnyvale ,Tia Juana Mexican Grill,(408) 730-8578,CA,94085.0,901 E Duane Ave,Sunnyvale,Tia Juana Restaurant,(408) 730-8578,CA,94085.0
